county,crop,season,year,yield_kg_per_ha,area_planted_ha,avg_rainfall_mm,avg_temp_celsius,rainfall_deviation,ph_level,soil_type,fertility_index,rainfall_category,temp_category,season_encoded,crop_encoded,county_encoded
Nakuru,Potatoes,Short Rains,2015,3144.06,2725.3,498.06,20.5,71.95,4.73,Loam,0.51,Medium,Warm,0,2,6
Nakuru,Potatoes,Long Rains,2016,1134.07,4192.98,1196.81,19.69,-109.04,4.73,Loam,0.51,High,Warm,1,2,6
Nakuru,Potatoes,Short Rains,2016,1986.89,1013.94,645.58,19.77,-40.08,4.73,Loam,0.51,Medium,Warm,0,2,6
Nakuru,Potatoes,Long Rains,2017,950.87,2995.38,938.69,30.2,10.23,4.73,Loam,0.51,High,Hot,1,2,6
Nakuru,Potatoes,Short Rains,2017,3306.99,181.28,522.56,26.09,18.52,4.73,Loam,0.51,Medium,Hot,0,2,6
Nakuru,Potatoes,Long Rains,2018,2694.74,1209.83,788.3,30.08,102.83,4.73,Loam,0.51,Medium,Hot,1,2,6
Nakuru,Potatoes,Short Rains,2018,3187.14,954.4,575.41,25.36,54.07,4.73,Loam,0.51,Medium,Hot,0,2,6
Nakuru,Potatoes,Long Rains,2019,3356.47,1995.0,1173.38,30.08,132.73,4.73,Loam,0.51,High,Hot,1,2,6
Nakuru,Potatoes,Short Rains,2019,4265.9,773.85,878.0,25.06,-81.7,4.73,Loam,0.51,High,Hot,0,2,6
Nakuru,Potatoes,Long Rains,2020,2061.95,656.02,737.43,28.53,103.27,4.73,Loam,0.51,Medium,Hot,1,2,6
Nakuru,Potatoes,Short Rains,2020,4221.37,4398.96,781.21,27.64,-0.1,4.73,Loam,0.51,Medium,Hot,0,2,6
Nakuru,Potatoes,Long Rains,2021,1754.38,3333.92,1065.3,25.15,108.48,4.73,Loam,0.51,High,Hot,1,2,6
Nakuru,Potatoes,Short Rains,2021,3823.72,2820.48,508.53,21.24,37.31,4.73,Loam,0.51,Medium,Warm,0,2,6
Nakuru,Potatoes,Long Rains,2022,2759.71,1285.08,428.73,16.21,-24.95,4.73,Loam,0.51,Medium,Cool,1,2,6
Nakuru,Potatoes,Short Rains,2022,1144.48,4496.36,801.19,30.95,-27.22,4.73,Loam,0.51,High,Hot,0,2,6
Nakuru,Potatoes,Long Rains,2023,4131.55,3202.2,963.08,31.92,125.0,4.73,Loam,0.51,High,Hot,1,2,6
Nakuru,Potatoes,Short Rains,2023,2054.41,1811.13,301.82,31.48,116.71,4.73,Loam,0.51,Low,Hot,0,2,6
Nakuru,Potatoes,Long Rains,2024,3486.04,4495.84,929.54,15.76,22.03,4.73,Loam,0.51,High,Cool,1,2,6
Nakuru,Potatoes,Short Rains,2024,4082.22,3921.39,1038.03,24.1,-44.77,4.73,Loam,0.51,High,Warm,0,2,6
Kisumu,Maize,Long Rains,2015,3175.52,512.29,789.15,29.83,-115.77,7.43,Silty Clay,0.5,Medium,Hot,1,1,2
Kisumu,Maize,Short Rains,2015,1398.03,4502.92,328.29,31.15,-63.38,7.43,Silty Clay,0.5,Low,Hot,0,1,2
Kisumu,Maize,Long Rains,2016,3043.79,145.07,697.75,18.66,29.07,7.43,Silty Clay,0.5,Medium,Warm,1,1,2
Kisumu,Maize,Short Rains,2016,1175.44,3351.16,889.76,18.96,107.39,7.43,Silty Clay,0.5,High,Warm,0,1,2
Kisumu,Maize,Long Rains,2017,818.73,887.96,1099.85,19.13,47.87,7.43,Silty Clay,0.5,High,Warm,1,1,2
Kisumu,Maize,Short Rains,2017,2830.32,3490.29,1174.91,28.34,-96.16,7.43,Silty Clay,0.5,High,Hot,0,1,2
Kisumu,Maize,Long Rains,2018,3212.26,1198.92,1006.21,31.46,-41.16,7.43,Silty Clay,0.5,High,Hot,1,1,2
Kisumu,Maize,Short Rains,2018,3435.06,1262.52,379.1,20.19,21.33,7.43,Silty Clay,0.5,Low,Warm,0,1,2
Kisumu,Maize,Long Rains,2019,2003.98,3757.81,448.96,25.37,-130.33,7.43,Silty Clay,0.5,Medium,Hot,1,1,2
Kisumu,Maize,Short Rains,2019,3203.64,4261.19,1121.59,15.6,-90.18,7.43,Silty Clay,0.5,High,Cool,0,1,2
Kisumu,Maize,Long Rains,2020,3233.17,2884.71,724.76,21.94,79.67,7.43,Silty Clay,0.5,Medium,Warm,1,1,2
Kisumu,Maize,Short Rains,2020,1146.6,1901.81,311.47,26.25,-67.32,7.43,Silty Clay,0.5,Low,Hot,0,1,2
Kisumu,Maize,Long Rains,2021,1781.25,1295.55,843.58,23.83,-87.06,7.43,Silty Clay,0.5,High,Warm,1,1,2
Kisumu,Maize,Short Rains,2021,4400.14,2026.18,422.51,27.84,-7.62,7.43,Silty Clay,0.5,Medium,Hot,0,1,2
Kisumu,Maize,Long Rains,2022,4100.57,3192.58,767.2,31.0,43.06,7.43,Silty Clay,0.5,Medium,Hot,1,1,2
Kisumu,Maize,Short Rains,2022,3740.8,2562.92,694.43,22.35,-75.35,7.43,Silty Clay,0.5,Medium,Warm,0,1,2
Kisumu,Maize,Long Rains,2023,2934.54,2513.34,531.08,14.41,129.72,7.43,Silty Clay,0.5,Medium,Cool,1,1,2
Kisumu,Maize,Short Rains,2023,1522.4,3640.02,653.03,25.67,-42.98,7.43,Silty Clay,0.5,Medium,Hot,0,1,2
Kisumu,Maize,Long Rains,2024,1838.86,219.15,399.4,22.07,-9.32,7.43,Silty Clay,0.5,Low,Warm,1,1,2
Kisumu,Maize,Short Rains,2024,3188.25,967.84,352.33,28.7,-63.2,7.43,Silty Clay,0.5,Low,Hot,0,1,2
Kisumu,Beans,Long Rains,2015,4279.7,4774.25,789.15,29.83,-115.77,7.43,Silty Clay,0.5,Medium,Hot,1,0,2
Kisumu,Beans,Short Rains,2015,4185.0,1913.78,328.29,31.15,-63.38,7.43,Silty Clay,0.5,Low,Hot,0,0,2
Kisumu,Beans,Long Rains,2016,857.19,4648.76,697.75,18.66,29.07,7.43,Silty Clay,0.5,Medium,Warm,1,0,2
Kisumu,Beans,Short Rains,2016,2384.28,4836.61,889.76,18.96,107.39,7.43,Silty Clay,0.5,High,Warm,0,0,2
Kisumu,Beans,Long Rains,2017,4365.39,4279.75,1099.85,19.13,47.87,7.43,Silty Clay,0.5,High,Warm,1,0,2
Kisumu,Beans,Short Rains,2017,1889.46,1986.98,1174.91,28.34,-96.16,7.43,Silty Clay,0.5,High,Hot,0,0,2
Kisumu,Beans,Long Rains,2018,3949.21,1652.92,1006.21,31.46,-41.16,7.43,Silty Clay,0.5,High,Hot,1,0,2
Kisumu,Beans,Short Rains,2018,1427.12,2828.33,379.1,20.19,21.33,7.43,Silty Clay,0.5,Low,Warm,0,0,2
Kisumu,Beans,Long Rains,2019,4263.77,3510.55,448.96,25.37,-130.33,7.43,Silty Clay,0.5,Medium,Hot,1,0,2
Kisumu,Beans,Short Rains,2019,2909.23,576.16,1121.59,15.6,-90.18,7.43,Silty Clay,0.5,High,Cool,0,0,2
Kisumu,Beans,Long Rains,2020,3075.53,4951.26,724.76,21.94,79.67,7.43,Silty Clay,0.5,Medium,Warm,1,0,2
Kisumu,Beans,Short Rains,2020,1318.31,2639.82,311.47,26.25,-67.32,7.43,Silty Clay,0.5,Low,Hot,0,0,2
Kisumu,Beans,Long Rains,2021,4046.28,3729.77,843.58,23.83,-87.06,7.43,Silty Clay,0.5,High,Warm,1,0,2
Kisumu,Beans,Short Rains,2021,3378.96,3542.17,422.51,27.84,-7.62,7.43,Silty Clay,0.5,Medium,Hot,0,0,2
Kisumu,Beans,Long Rains,2022,2130.12,1538.6,767.2,31.0,43.06,7.43,Silty Clay,0.5,Medium,Hot,1,0,2
Kisumu,Beans,Short Rains,2022,3794.64,4069.56,694.43,22.35,-75.35,7.43,Silty Clay,0.5,Medium,Warm,0,0,2
Kisumu,Beans,Long Rains,2023,4008.17,4574.88,531.08,14.41,129.72,7.43,Silty Clay,0.5,Medium,Cool,1,0,2
Kisumu,Beans,Short Rains,2023,2691.97,2557.43,653.03,25.67,-42.98,7.43,Silty Clay,0.5,Medium,Hot,0,0,2
Kisumu,Beans,Long Rains,2024,3753.69,3284.82,399.4,22.07,-9.32,7.43,Silty Clay,0.5,Low,Warm,1,0,2
Kisumu,Beans,Short Rains,2024,3397.28,3999.38,352.33,28.7,-63.2,7.43,Silty Clay,0.5,Low,Hot,0,0,2
Kisumu,Wheat,Long Rains,2015,4093.02,1756.18,789.15,29.83,-115.77,7.43,Silty Clay,0.5,Medium,Hot,1,4,2
Kisumu,Wheat,Short Rains,2015,2189.66,560.51,328.29,31.15,-63.38,7.43,Silty Clay,0.5,Low,Hot,0,4,2
Kisumu,Wheat,Long Rains,2016,2939.64,276.12,697.75,18.66,29.07,7.43,Silty Clay,0.5,Medium,Warm,1,4,2
Kisumu,Wheat,Short Rains,2016,2522.71,2758.96,889.76,18.96,107.39,7.43,Silty Clay,0.5,High,Warm,0,4,2
Kisumu,Wheat,Long Rains,2017,1860.2,2995.08,1099.85,19.13,47.87,7.43,Silty Clay,0.5,High,Warm,1,4,2
Kisumu,Wheat,Short Rains,2017,912.85,283.01,1174.91,28.34,-96.16,7.43,Silty Clay,0.5,High,Hot,0,4,2
Kisumu,Wheat,Long Rains,2018,3843.62,1864.93,1006.21,31.46,-41.16,7.43,Silty Clay,0.5,High,Hot,1,4,2
Kisumu,Wheat,Short Rains,2018,1270.12,2658.99,379.1,20.19,21.33,7.43,Silty Clay,0.5,Low,Warm,0,4,2
Kisumu,Wheat,Long Rains,2019,3648.98,1157.52,448.96,25.37,-130.33,7.43,Silty Clay,0.5,Medium,Hot,1,4,2
Kisumu,Wheat,Short Rains,2019,3104.69,518.2,1121.59,15.6,-90.18,7.43,Silty Clay,0.5,High,Cool,0,4,2
Kisumu,Wheat,Long Rains,2020,991.22,2703.64,724.76,21.94,79.67,7.43,Silty Clay,0.5,Medium,Warm,1,4,2
Kisumu,Wheat,Short Rains,2020,2800.35,3223.41,311.47,26.25,-67.32,7.43,Silty Clay,0.5,Low,Hot,0,4,2
Kisumu,Wheat,Long Rains,2021,3486.54,4881.68,843.58,23.83,-87.06,7.43,Silty Clay,0.5,High,Warm,1,4,2
Kisumu,Wheat,Short Rains,2021,2710.31,1682.49,422.51,27.84,-7.62,7.43,Silty Clay,0.5,Medium,Hot,0,4,2
Kisumu,Wheat,Long Rains,2022,3742.19,1427.08,767.2,31.0,43.06,7.43,Silty Clay,0.5,Medium,Hot,1,4,2
Kisumu,Wheat,Short Rains,2022,2424.19,484.44,694.43,22.35,-75.35,7.43,Silty Clay,0.5,Medium,Warm,0,4,2
Kisumu,Wheat,Long Rains,2023,893.8,4816.98,531.08,14.41,129.72,7.43,Silty Clay,0.5,Medium,Cool,1,4,2
Kisumu,Wheat,Short Rains,2023,3893.13,3510.27,653.03,25.67,-42.98,7.43,Silty Clay,0.5,Medium,Hot,0,4,2
Kisumu,Wheat,Long Rains,2024,2313.13,949.14,399.4,22.07,-9.32,7.43,Silty Clay,0.5,Low,Warm,1,4,2
Kisumu,Wheat,Short Rains,2024,1378.82,1326.19,352.33,28.7,-63.2,7.43,Silty Clay,0.5,Low,Hot,0,4,2
Kisumu,Sorghum,Long Rains,2015,2832.14,3601.52,789.15,29.83,-115.77,7.43,Silty Clay,0.5,Medium,Hot,1,3,2
Kisumu,Sorghum,Short Rains,2015,3242.73,1471.68,328.29,31.15,-63.38,7.43,Silty Clay,0.5,Low,Hot,0,3,2
Kisumu,Sorghum,Long Rains,2016,4333.0,3715.69,697.75,18.66,29.07,7.43,Silty Clay,0.5,Medium,Warm,1,3,2
Kisumu,Sorghum,Short Rains,2016,2851.11,3097.43,889.76,18.96,107.39,7.43,Silty Clay,0.5,High,Warm,0,3,2
Kisumu,Sorghum,Long Rains,2017,2352.52,1313.88,1099.85,19.13,47.87,7.43,Silty Clay,0.5,High,Warm,1,3,2
Kisumu,Sorghum,Short Rains,2017,2117.1,3813.45,1174.91,28.34,-96.16,7.43,Silty Clay,0.5,High,Hot,0,3,2
Kisumu,Sorghum,Long Rains,2018,853.26,668.76,1006.21,31.46,-41.16,7.43,Silty Clay,0.5,High,Hot,1,3,2
Kisumu,Sorghum,Short Rains,2018,970.21,299.57,379.1,20.19,21.33,7.43,Silty Clay,0.5,Low,Warm,0,3,2
Kisumu,Sorghum,Long Rains,2019,3965.2,3547.92,448.96,25.37,-130.33,7.43,Silty Clay,0.5,Medium,Hot,1,3,2
Kisumu,Sorghum,Short Rains,2019,2554.44,579.39,1121.59,15.6,-90.18,7.43,Silty Clay,0.5,High,Cool,0,3,2
Kisumu,Sorghum,Long Rains,2020,2618.98,2420.01,724.76,21.94,79.67,7.43,Silty Clay,0.5,Medium,Warm,1,3,2
Kisumu,Sorghum,Short Rains,2020,1440.85,2225.87,311.47,26.25,-67.32,7.43,Silty Clay,0.5,Low,Hot,0,3,2
Kisumu,Sorghum,Long Rains,2021,2274.47,3117.67,843.58,23.83,-87.06,7.43,Silty Clay,0.5,High,Warm,1,3,2
Kisumu,Sorghum,Short Rains,2021,3149.85,321.99,422.51,27.84,-7.62,7.43,Silty Clay,0.5,Medium,Hot,0,3,2
Kisumu,Sorghum,Long Rains,2022,2186.07,3166.71,767.2,31.0,43.06,7.43,Silty Clay,0.5,Medium,Hot,1,3,2
Kisumu,Sorghum,Short Rains,2022,2661.6,4296.8,694.43,22.35,-75.35,7.43,Silty Clay,0.5,Medium,Warm,0,3,2
Kisumu,Sorghum,Long Rains,2023,3237.17,898.38,531.08,14.41,129.72,7.43,Silty Clay,0.5,Medium,Cool,1,3,2
Kisumu,Sorghum,Short Rains,2023,1061.1,3247.85,653.03,25.67,-42.98,7.43,Silty Clay,0.5,Medium,Hot,0,3,2
Kisumu,Sorghum,Long Rains,2024,898.09,2970.3,399.4,22.07,-9.32,7.43,Silty Clay,0.5,Low,Warm,1,3,2
Kisumu,Sorghum,Short Rains,2024,4278.85,2919.82,352.33,28.7,-63.2,7.43,Silty Clay,0.5,Low,Hot,0,3,2
Kisumu,Potatoes,Long Rains,2015,2236.23,3252.11,789.15,29.83,-115.77,7.43,Silty Clay,0.5,Medium,Hot,1,2,2
Kisumu,Potatoes,Short Rains,2015,2495.54,2773.52,328.29,31.15,-63.38,7.43,Silty Clay,0.5,Low,Hot,0,2,2
Kisumu,Potatoes,Long Rains,2016,4283.42,1991.9,697.75,18.66,29.07,7.43,Silty Clay,0.5,Medium,Warm,1,2,2
Kisumu,Potatoes,Short Rains,2016,4356.41,4536.22,889.76,18.96,107.39,7.43,Silty Clay,0.5,High,Warm,0,2,2
Kisumu,Potatoes,Long Rains,2017,1524.43,439.87,1099.85,19.13,47.87,7.43,Silty Clay,0.5,High,Warm,1,2,2
Kisumu,Potatoes,Short Rains,2017,1172.88,189.29,1174.91,28.34,-96.16,7.43,Silty Clay,0.5,High,Hot,0,2,2
Kisumu,Potatoes,Long Rains,2018,1149.44,3446.73,1006.21,31.46,-41.16,7.43,Silty Clay,0.5,High,Hot,1,2,2
Kisumu,Potatoes,Short Rains,2018,1063.4,1662.98,379.1,20.19,21.33,7.43,Silty Clay,0.5,Low,Warm,0,2,2
Kisumu,Potatoes,Long Rains,2019,3926.04,214.03,448.96,25.37,-130.33,7.43,Silty Clay,0.5,Medium,Hot,1,2,2
Kisumu,Potatoes,Short Rains,2019,3813.53,1481.09,1121.59,15.6,-90.18,7.43,Silty Clay,0.5,High,Cool,0,2,2
Kisumu,Potatoes,Long Rains,2020,1237.21,3514.01,724.76,21.94,79.67,7.43,Silty Clay,0.5,Medium,Warm,1,2,2
Kisumu,Potatoes,Short Rains,2020,3127.09,4399.61,311.47,26.25,-67.32,7.43,Silty Clay,0.5,Low,Hot,0,2,2
Kisumu,Potatoes,Long Rains,2021,3519.76,4037.06,843.58,23.83,-87.06,7.43,Silty Clay,0.5,High,Warm,1,2,2
Kisumu,Potatoes,Short Rains,2021,1843.53,969.45,422.51,27.84,-7.62,7.43,Silty Clay,0.5,Medium,Hot,0,2,2
Kisumu,Potatoes,Long Rains,2022,3577.27,4053.49,767.2,31.0,43.06,7.43,Silty Clay,0.5,Medium,Hot,1,2,2
Kisumu,Potatoes,Short Rains,2022,4464.87,2121.83,694.43,22.35,-75.35,7.43,Silty Clay,0.5,Medium,Warm,0,2,2
Kisumu,Potatoes,Long Rains,2023,2176.47,3904.42,531.08,14.41,129.72,7.43,Silty Clay,0.5,Medium,Cool,1,2,2
Kisumu,Potatoes,Short Rains,2023,2060.97,4660.71,653.03,25.67,-42.98,7.43,Silty Clay,0.5,Medium,Hot,0,2,2
Kisumu,Potatoes,Long Rains,2024,3976.13,2202.07,399.4,22.07,-9.32,7.43,Silty Clay,0.5,Low,Warm,1,2,2
